created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Wed Aug 10 23:20:22 +0000 2022,1557507173936115713,Atas 👉 Fadil saat konpress KM50 Bawah 👉 Fadil jadi ayam sayur saat ditanyai soal Duren 3 https://t.co/XK4GxJVKHi,95,279,896,2211,in,929287558281830400,1557507173936115713,yaniarsim,https://twitter.com/yaniarsim/status/1557507173936115713,
Wed Aug 10 21:52:26 +0000 2022,1557485047732928512,"Setelah pelukan teletubbies"" Sambo vs Fadil yg menghebohkan, Irwasum sebutkan 7 anak buah Fadil terlibat dlm kasus Brigadir J yg berlokasi pd area Fadil sbg Kapolda Metro. Misal Kapolres Jaksel Budhi adalah bawahan Fadil. Ingat kata2 Sambo, 2 tingkat pimpinan hrs tg jawab ! 👀 https://t.co/0unT66dXTm""",8,44,545,1871,in,227320530,1557485047732928512,hipohan,https://twitter.com/hipohan/status/1557485047732928512,
Wed Aug 10 15:16:47 +0000 2022,1557385478407499777,Kemaren pelukan..   Kwn kwn media itu mau minta tanggapannya pak Fadil terkait pak Sambo skrng.. bukan mau minta tanggapan mabes pak 😁😁😁  @NenkMonica https://t.co/e3qZG0XuSr,19,81,133,427,in,1077160304688037888,1557385478407499777,DadangRusian,https://twitter.com/DadangRusian/status/1557385478407499777,NenkMonica
Mon Aug 08 21:58:04 +0000 2022,1556761688514625537,"Ketika Ketua KNPI Haris Pertama dikeroyok orng di gang sempit yg diperkirakan takkan ada yg tahu, sy langsung kontak Kapolda Fadil, sy bilang, “POLRI punya semua alat dan keahlian utk menemukan mereka. Cari”. Kapolda blng siap dan tdk sampai 24 jam para pengeroyok sdh ditangkap.",34,194,144,1373,in,282006208,1556759769805111296,mohmahfudmd,https://twitter.com/mohmahfudmd/status/1556761688514625537,
Mon Aug 08 05:59:20 +0000 2022,1556520416742584320,Kangen Pak Fadil 🤗🤗 https://t.co/HEd9vaH9Vn,6,98,224,998,in,929287558281830400,1556520416742584320,yaniarsim,https://twitter.com/yaniarsim/status/1556520416742584320,
Mon Aug 08 01:27:13 +0000 2022,1556451934760218624,Ada Apa Dengan Fadil dan Sambo?   Cc : @ListyoSigitP,8,94,292,1041,in,2905814730,1556451934760218624,abu_waras,https://twitter.com/abu_waras/status/1556451934760218624,ListyoSigitP
Sun Aug 07 14:06:22 +0000 2022,1556280593695985664,Fadil imran akir akir ini pendiam ya?,19,180,179,1470,in,1270980383761330176,1556280593695985664,Tan_Mar3M,https://twitter.com/Tan_Mar3M/status/1556280593695985664,
Sun Aug 07 13:59:35 +0000 2022,1556278886899412993,Di case lain biasanya Fadil gacor banget. Sekarang kek sariawan ya..?,15,117,260,1475,in,907897495044317185,1556278886899412993,UyokBack,https://twitter.com/UyokBack/status/1556278886899412993,
Sun Aug 07 03:33:31 +0000 2022,1556121332064038912,Bbrp perwira yg notabene anak buah Fadil diamankan. Yakin selama ini bergerak tanpa lapor ke Fadil? 🤔,18,84,388,1873,in,907897495044317185,1556121332064038912,UyokBack,https://twitter.com/UyokBack/status/1556121332064038912,
Sat Aug 06 07:59:22 +0000 2022,1555825845402406912,Para perwira anak buah Kapolda Metro Jaya Irjen Fadil Imran itu diamankan di tempat khusus.  Yg jd pertanyaan adlh siapa yg perintahkan para perwira itu? 🤔🤔🤔,13,117,383,1869,in,105085302,1555825845402406912,bachrum_achmadi,https://twitter.com/bachrum_achmadi/status/1555825845402406912,
Thu Aug 04 19:01:03 +0000 2022,1555267587641995264,Para perwira anak buah Kapolda Metro Jaya Irjen Fadil Imran itu diamankan di tempat khusus. #brigadirJ https://t.co/JmOOELTV35,58,132,256,878,in,79130206,1555267587641995264,jpnncom,https://twitter.com/jpnncom/status/1555267587641995264,
Wed Aug 03 06:16:41 +0000 2022,1554712840551817219,"@Askrlfess vidi aldiano sm fadil jaidi, se-Indonesia temen mereka semua",0,3,16,1255,in,1469368097555419137,1554701467268702208,pcarnyKimJisoo,https://twitter.com/pcarnyKimJisoo/status/1554712840551817219,Askrlfess
Thu Jul 28 14:25:00 +0000 2022,1552661406213816320,Fadil pengen potong rambut kaya -renjun tapi katanya rambut fadil malah jadi mirip jamur 😭 https://t.co/3xT5cP57CF,65,47,102,1440,in,1255464612058849280,1552661406213816320,NCTDreamINA,https://twitter.com/NCTDreamINA/status/1552661406213816320,
Thu Jul 28 13:28:04 +0000 2022,1552647077720576001,"Polisi Buru Admin Akun Opposite6890, Dalang Hoax Irjen Fadil-Sambo https://t.co/udeEllpqih https://t.co/M0brZ9dxYG",120,452,193,631,in,41730943,1552647077720576001,VIVAcoid,https://twitter.com/VIVAcoid/status/1552647077720576001,
Fri Jul 22 14:52:13 +0000 2022,1550493924405706752,"Atas Nama Keadilan, Mujahid 212 Minta Kapolri Copot Fadil Imran Sebagai Kapolda Metro Jaya https://t.co/rJ3cj4j0qX",3,17,137,577,in,887743587579944960,1550493924405706752,OposisiCerdas,https://twitter.com/OposisiCerdas/status/1550493924405706752,
Fri Jul 22 13:47:48 +0000 2022,1550477713776881665,"Atas Nama Keadilan, Mujahid 212 Minta Kapolri Copot Fadil Imran Sebagai Kapolda Metro Jaya https://t.co/d90Tnu1Tlx",12,24,273,1382,in,3319260420,1550477713776881665,geloraco,https://twitter.com/geloraco/status/1550477713776881665,
Fri Jul 22 00:35:12 +0000 2022,1550278252878766080,"Ada tagar yang gemanya kencang sekali #CopotJugaFadil   Akan sangat mudah mengembalikan kepercayaan Publik terhadap POLRI salah satunya dengan menonaktifkan Fadil  Ini cobaan bagi Kapolri kita, semoga PRESISI yang rakyat cita-citakan bukan mimpi  Ayo KAPOLRI 💪🏼  .",19,50,232,812,in,3177957847,1550278252878766080,HelmiFelis_,https://twitter.com/HelmiFelis_/status/1550278252878766080,
Thu Jul 21 22:28:12 +0000 2022,1550246289203679232,"Netizen Menganggap Kapolri Sama Sekali Belum Bekerja Dalam Kasus Brigadir J, Kalau Tidak Mencopot Fadil. Tagar #CopotJugaFadil Trending Nasional Di Twitter.",10,15,171,645,in,2905814730,1550246289203679232,abu_waras,https://twitter.com/abu_waras/status/1550246289203679232,
Thu Jul 21 17:13:00 +0000 2022,1550166967218479104,"Irjen Pol Ferdy Sambo dan Irjen Pol Fadil Imran mempunyai kesempatan yg sama untuk menjadi KAPOLRI menggantikan Jend Pol Listyo Sigit   Sayang Irjen Sambo tersandung kasus pembunuhan  Atau jangan ??? #CopotJugaFadil  #CopotJugaFadil https://t.co/yiG3nJpAkL""",20,62,202,699,in,825347294539034625,1550166967218479104,one_moslem1,https://twitter.com/one_moslem1/status/1550166967218479104,
Thu Jul 21 13:20:30 +0000 2022,1550108456996470784,Wkwk sumpah gw ud lama banget kurang percaya dg kinerja pak fadil ini #CopotJugaFadil https://t.co/vwrOygKIyv,9,37,103,487,in,961296948262088705,1550108456996470784,bayualfatih013,https://twitter.com/bayualfatih013/status/1550108456996470784,
Thu Jul 21 10:25:05 +0000 2022,1550064313632600064,Kapolda Metro Fadil Diultimatum Dicopot Imbas Kasus Irjen Sambo https://t.co/2y2tDzQSX0 https://t.co/kgMKQXyLFy,88,238,574,2488,in,41730943,1550064313632600064,VIVAcoid,https://twitter.com/VIVAcoid/status/1550064313632600064,
